country,unfccc,peak_year,timeline_year,peaked_or_not,carbon_footprint
Angola,Non-Annex I,2030 or earlier,2030,Will peak,2930700
Australia,Annex I,2006,2010,Peaked,13213654
Austria,Annex I,2003,2010,Peaked,2242934
Azerbaijan,Non-Annex I,1990 or earlier,1990,Peaked,1084850.4
Belarus,Annex I,1990 or earlier,1990,Peaked,2461050
Belgium,Annex I,1996,2000,Peaked,3807851
Brazil,Non-Annex I,2004,2010,Peaked,44197224.4
Bulgaria,Annex I,1990 or earlier,1990,Peaked,1807556
Canada,Annex I,1995,2000,Peaked,19007552
China,Non-Annex I,around 2030 (CO2 only),2030,Will peak,193450000
Costa Rica,Non-Annex I,1998,2000,Peaked,388790
Croatia,Annex I,1990 or earlier,1990,Peaked,706022
Cyprus,Annex I,2008,2010,Peaked,225188
Czech Republic,Annex I,1990 or earlier,1990,Peaked,4018274
Denmark,Annex I,1996,2000,Peaked,1887271
Estonia,Annex I,1990 or earlier,1990,Peaked,567285
Finland,Annex I,1994,2000,Peaked,1958388
France,Annex I,1991,2000,Peaked,14529287
Georgia,Non-Annex I,1990 or earlier,1990,Peaked,441370
Germany,Annex I,1990 or earlier,1990,Peaked,27912685
Greece,Annex I,2007,2010,Peaked,3217518
Hungary,Annex I,1990 or earlier,1990,Peaked,1969163
Iceland,Annex I,2008,2010,Peaked,110493
Ireland,Annex I,2001,2010,Peaked,1711882
Italy,Annex I,2003,2010,Peaked,14211402
Japan,Annex I,2020 or earlier,2020,Peaked,36482296
Kazakhstan,Non-Annex I,1990 or earlier,1990,Peaked,7170819
"Korea, Republic of",Non-Annex I,2020 or earlier,2020,Peaked,11719699.3
Latvia,Annex I,1990 or earlier,1990,Peaked,358125
Liechtenstein,Annex I,2006,2010,Peaked,6554
Lithuania,Annex I,1991,2000,Peaked,632358
Luxembourg,Annex I,1991,2000,Peaked,311917
Malta,Annex I,2020 or earlier,2020,Peaked,75226
Marshall Islands,Non-Annex I,2030 or earlier,2030,Will peak,2093.9
Mexico,Non-Annex I,2030 or earlier,2030,Will peak,16431000
